lat,lon,sat
45,8,144.8241
46,8,158.3703
47,8,137.0563
48,8,124.0417
49,8,146.2314
50,8,165.161
51,8,150.3617
52,8,142.3787
53,8,99.39011
54,8,81.74627
55,8,89.1205
56,8,89.21243
57,8,95.29996
58,8,107.0798
59,8,149.041
60,8,196.518
61,8,254.6468
62,8,254.9678
63,8,228.7223
64,8,203.8427
65,8,203.9271
66,8,184.0946
67,8,135.1423
68,8,53.20867
69,8,101.6721
70,8,141.7971
71,8,156.1216
72,8,155.5083
73,8,177.5659
74,8,201.6869
75,8,241.3812
76,8,234.5138
77,8,225.945
78,8,222.2592
79,8,217.0358
80,8,214.737
81,8,215.9486
82,8,-9999
83,8,-9999
84,8,-9999
85,8,-9999
86,8,-9999
87,8,-9999
88,8,-9999
89,8,-9999
90,8,-9999
91,8,-9999
92,8,-9999
93,8,-9999
94,8,-9999
95,8,-9999
96,8,-9999
97,8,-9999
98,8,-9999
0,9,-9999
1,9,-9999
2,9,-9999
3,9,-9999
4,9,-9999
5,9,-9999
6,9,-9999
7,9,-9999
8,9,-9999
9,9,-9999
10,9,-9999
11,9,-9999
12,9,-9999
13,9,-9999
14,9,-9999
15,9,-9999
16,9,-9999
17,9,-9999
18,9,-9999
19,9,-9999
20,9,174.6035
21,9,179.0363
22,9,182.3825
23,9,183.085
24,9,179.3209
25,9,174.0051
26,9,175.9115
27,9,152.6933
28,9,119.4193
29,9,111.0292
30,9,111.582
31,9,122.7202
32,9,139.8413
33,9,141.2252
34,9,95.68085
35,9,86.484
36,9,76.15839
37,9,84.99676
38,9,93.52911
39,9,97.94905
40,9,102.2102
41,9,117.4681
42,9,117.7867
43,9,129.961
44,9,145.199
45,9,144.3071
46,9,147.6907
47,9,134.8618
48,9,99.5787
49,9,143.6406
50,9,167.1876
51,9,157.9831
52,9,156.3415
53,9,109.7931
54,9,55.3678
55,9,80.68966
56,9,92.1667
57,9,92.67669
58,9,93.42825
59,9,142.4724
60,9,202.1781
61,9,231.8955
62,9,262.7764
63,9,250.2808
64,9,-9999
65,9,208.0983
66,9,191.1354
67,9,152.5591
68,9,102.0291
69,9,123.8366
70,9,144.4086
71,9,153.8562
72,9,162.1266
73,9,181.3178
74,9,222.6973
75,9,259.8138
76,9,245.5383
77,9,229.4623
78,9,221.676
79,9,214.0704
80,9,210.5266
81,9,213.7845
82,9,216.6925
83,9,219.1211
84,9,214.3983
85,9,200.2368
86,9,174.296
87,9,157.6586
88,9,182.7716
89,9,204.8229
90,9,215.9734
91,9,229.488
92,9,244.2004
93,9,261.5872
94,9,261.2688
95,9,238.4467
96,9,219.6239
97,9,226.1688
98,9,252.2221
0,10,-9999
1,10,-9999
2,10,-9999
3,10,-9999
4,10,-9999
5,10,-9999
6,10,-9999
7,10,-9999
8,10,-9999
9,10,-9999
10,10,-9999
11,10,-9999
12,10,-9999
13,10,-9999
14,10,-9999
15,10,-9999
16,10,-9999
17,10,-9999
18,10,-9999
19,10,-9999
20,10,170.2008
21,10,173.5951
22,10,175.7621
23,10,177.569
24,10,177.9997
25,10,172.9792
26,10,183.6271
27,10,154.3445
28,10,125.8198
29,10,112.9847
30,10,113.5731
31,10,121.1777
32,10,128.5733
33,10,120.2682
34,10,88.02239
35,10,74.91631
36,10,64.55216
37,10,84.96132
38,10,99.01378
39,10,112.7703
40,10,121.1207
41,10,120.7081
42,10,128.2531
43,10,135.8862
44,10,143.004
45,10,143.6124
46,10,143.5642
47,10,133.2402
48,10,90.88754
49,10,150.9351
50,10,188.4419
51,10,172.1075
52,10,170.0336
53,10,144.7146
54,10,46.93932
55,10,81.49554
56,10,95.99724
57,10,89.21093
58,10,68.68076
59,10,131.4541
60,10,213.8525
61,10,216.3728
62,10,250.4828
63,10,240.8988
64,10,220.447
65,10,213.6253
66,10,200.1324
67,10,173.8341
68,10,145.8
69,10,145.5757
70,10,144.7983
71,10,147.9652
72,10,163.8559
73,10,186.8924
74,10,212.8785
75,10,256.4445
76,10,249.2201
77,10,229.8829
78,10,221.197
79,10,208.9483
80,10,199.7586
81,10,212.6123
82,10,218.0167
83,10,219.8261
84,10,218.3174
85,10,208.061
86,10,188.3157
87,10,177.2234
88,10,196.1835
89,10,203.9715
90,10,212.4873
91,10,224.4954
92,10,234.9922
93,10,242.5314
94,10,240.5878
95,10,231.1723
96,10,223.7886
97,10,233.5923
98,10,269.7187
0,11,-9999
1,11,-9999
2,11,-9999
3,11,-9999
4,11,-9999
5,11,-9999
6,11,-9999
7,11,-9999
8,11,-9999
9,11,-9999
10,11,-9999
11,11,-9999
12,11,-9999
13,11,-9999
14,11,-9999
15,11,-9999
16,11,-9999
17,11,-9999
18,11,-9999
19,11,-9999
20,11,165.2058
21,11,167.9416
22,11,170.985
23,11,173.7688
24,11,179.2494
25,11,192.1748
26,11,189.911
27,11,151.1099
28,11,125.6119
29,11,114.0227
30,11,112.843
31,11,120.1674
32,11,124.436
33,11,114.3875
34,11,55.01275
35,11,62.14929
36,11,61.8896
37,11,86.19242
38,11,105.5981
39,11,126.5305
40,11,137.9391
41,11,124.9492
42,11,145.5074
43,11,142.0249
44,11,142.0895
45,11,144.7457
46,11,146.955
47,11,143.3817
48,11,127.2333
49,11,170.9863
50,11,221.153
51,11,184.0468
52,11,179.0218
53,11,149.4684
54,11,94.58112
55,11,99.50549
56,11,96.93411
57,11,90.67262
58,11,59.74285
59,11,125.7925
60,11,197.8321
61,11,205.8675
62,11,226.2412
63,11,224.0892
64,11,220.2743
65,11,219.8017
66,11,206.6517
67,11,184.7142
68,11,169.1644
69,11,160.1825
70,11,142.1275
71,11,135.5539
72,11,160.1588
73,11,186.1051
74,11,177.6427
75,11,206.9469
76,11,227.8052
77,11,225.8607
78,11,226.2713
79,11,198.3451
80,11,170.7261
81,11,205.2432
82,11,218.2747
83,11,222.1984
84,11,225.1586
85,11,221.9111
86,11,215.6754
87,11,210.7279
88,11,208.5358
